step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
10,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.041947625430184,4.879725453980083,0.4621138546159868,0.0405937324113077,0.0018348067389149306,0.011376933251862741
11,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.041947625430184,4.879725453980083,0.4622618145386268,0.0405937324113077,0.0018348067389149306,0.011376933251862741
12,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.041947625430184,4.879725453980083,0.4623866804155262,0.0405937324113077,0.0018348067389149306,0.011376933251862741
13,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.46206498016102254,0.0405937324113077,0.0018198277161194088,0.011293696101306499
14,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.46214160037480434,0.0405937324113077,0.0018198277161194088,0.011293696101306499
15,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.462204340087574,0.0405937324113077,0.0018198277161194088,0.011293696101306499
16,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.4622556704150936,0.0405937324113077,0.0018198277161194088,0.011293696101306499
17,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.46229773442398575,0.0405937324113077,0.0018198277161194088,0.011293696101306499
18,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.4623323817768533,0.0405937324113077,0.0018198277161194088,0.011293696101306499
19,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.46236120122506663,0.0405937324113077,0.0018198277161194088,0.011293696101306499
20,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.46238555068171733,0.0405937324113077,0.0018198277161194088,0.011293696101306499
21,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.0434439336623145,4.877713572050903,0.4624065847614796,0.0405937324113077,0.0018198277161194088,0.011293696101306499
22,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.877713572050903,0.4622997895818205,0.0405937324113077,0.0018189663513896895,0.011293696101306499
23,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.877713572050903,0.4623303053032487,0.0405937324113077,0.0018189663513896895,0.011293696101306499
24,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46214595361208344,0.0405937324113077,0.0018189663513896895,0.011289296340632655
25,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46218651880628736,0.0405937324113077,0.0018189663513896895,0.011289296340632655
26,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46222383855379506,0.0405937324113077,0.0018189663513896895,0.011289296340632655
27,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4622588240934394,0.0405937324113077,0.0018189663513896895,0.011289296340632655
28,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4622922249448999,0.0405937324113077,0.0018189663513896895,0.011289296340632655
29,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46232465429088987,0.0405937324113077,0.0018189663513896895,0.011289296340632655
30,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4623566105022497,0.0405937324113077,0.0018189663513896895,0.011289296340632655
31,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46238849539087296,0.0405937324113077,0.0018189663513896895,0.011289296340632655
32,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46242062968580966,0.0405937324113077,0.0018189663513896895,0.011289296340632655
33,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4624532661522245,0.0405937324113077,0.0018189663513896895,0.011289296340632655
34,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.462486600708973,0.0405937324113077,0.0018189663513896895,0.011289296340632655
35,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4625207818464973,0.0405937324113077,0.0018189663513896895,0.011289296340632655
36,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46255591860101897,0.0405937324113077,0.0018189663513896895,0.011289296340632655
37,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4625920873023028,0.0405937324113077,0.0018189663513896895,0.011289296340632655
38,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46262933727947875,0.0405937324113077,0.0018189663513896895,0.011289296340632655
39,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46266769568163,0.0405937324113077,0.0018189663513896895,0.011289296340632655
40,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4627071715463041,0.0405937324113077,0.0018189663513896895,0.011289296340632655
41,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4627477592291261,0.0405937324113077,0.0018189663513896895,0.011289296340632655
42,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46278944129073596,0.0405937324113077,0.0018189663513896895,0.011289296340632655
43,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4628321909228794,0.0405937324113077,0.0018189663513896895,0.011289296340632655
44,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46287597398325675,0.0405937324113077,0.0018189663513896895,0.011289296340632655
45,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46292075069833943,0.0405937324113077,0.0018189663513896895,0.011289296340632655
46,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46296647708453875,0.0405937324113077,0.0018189663513896895,0.011289296340632655
47,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46301310613059626,0.0405937324113077,0.0018189663513896895,0.011289296340632655
48,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46306058877768075,0.0405937324113077,0.0018189663513896895,0.011289296340632655
49,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.463108874728235,0.0405937324113077,0.0018189663513896895,0.011289296340632655
50,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4631579131099954,0.0405937324113077,0.0018189663513896895,0.011289296340632655
51,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46320765301766254,0.0405937324113077,0.0018189663513896895,0.011289296340632655
52,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.463258043951348,0.0405937324113077,0.0018189663513896895,0.011289296340632655
53,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4633090361680657,0.0405937324113077,0.0018189663513896895,0.011289296340632655
54,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4633605809600991,0.0405937324113077,0.0018189663513896895,0.011289296340632655
55,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46341263087200574,0.0405937324113077,0.0018189663513896895,0.011289296340632655
56,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.463465139866247,0.0405937324113077,0.0018189663513896895,0.011289296340632655
57,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4635180634459304,0.0405937324113077,0.0018189663513896895,0.011289296340632655
58,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4635713587418639,0.0405937324113077,0.0018189663513896895,0.011289296340632655
59,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4636249845700294,0.0405937324113077,0.0018189663513896895,0.011289296340632655
60,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46367890146465063,0.0405937324113077,0.0018189663513896895,0.011289296340632655
61,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.463733071691234,0.0405937324113077,0.0018189663513896895,0.011289296340632655
62,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4637874592432847,0.0405937324113077,0.0018189663513896895,0.011289296340632655
63,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4638420298258286,0.0405937324113077,0.0018189663513896895,0.011289296340632655
64,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46389675082836895,0.0405937324113077,0.0018189663513896895,0.011289296340632655
